Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Deaths,05/28/2022,All,0.5,0.3,0.0,1.7,,0.5,0.5,0.0,1.0,,632070,886315,973695,3,3,0,999,999
Hospitalizations,05/22/2021,18-29,10.9,0.6,,18.2,,,,,,,257887,180013,,28,1,,18,29
Hospitalizations,02/19/2022,65-79,25.4,24.8,8.4,1.0,3.0,,,,,,47213,56442,154653,12,14,13,65,79
Hospitalizations,04/17/2021,30-49,20.0,0.7,,28.6,,,,,,,414302,151345,,83,1,,30,49
Hospitalizations,10/09/2021,50-64,38.9,2.7,,14.4,,,,,,,74603,333842,,29,9,,50,64
Cases,02/19/2022,0-4,78.7,,,,,,,,,,162642,,,128,,,0,4
Hospitalizations,07/02/2022,50-64,33.7,11.5,8.3,2.9,4.1,,,,,,38608,130231,242310,13,15,20,50,64
Deaths,05/22/2021,All,3.0,0.1,,30.0,,4.4,0.1,,62.6,,1328257,1017597,,40,1,,999,999
Deaths,11/06/2021,All,1.9,0.3,0.0,6.3,,2.9,0.3,0.0,8.5,,945080,1471741,121799,18,5,0,999,999
Cases,08/06/2022,All,267.0,147.6,231.0,1.8,1.2,312.8,141.3,196.9,2.2,1.6,602581,854993,1018917,1609,1262,2354,999,999
Hospitalizations,11/27/2021,30-49,26.6,1.0,1.2,26.6,22.2,,,,,,184213,491151,83845,49,5,1,30,49
Deaths,01/29/2022,All,10.5,4.0,2.8,2.6,3.8,14.4,5.8,1.6,2.5,8.9,696767,958922,784226,73,38,22,999,999
Cases,11/20/2021,65-79,180.0,82.5,9.9,2.2,18.2,,,,,,54441,134531,70449,98,111,7,65,79
Hospitalizations,07/09/2022,5-11,0.0,0.0,12.5,,0.0,,,,,,96668,90956,7995,0,0,1,5,11
Cases,05/14/2022,0-4,276.7,,,,,,,,,,162642,,,450,,,0,4
Cases,04/17/2021,All,227.8,24.1,,9.5,,233.4,17.9,,13.0,,1609590,480702,,3666,116,,999,999
Deaths,09/17/2022,30-49,0.0,0.0,0.0,,,,,,,,118021,277675,350070,0,0,0,30,49
Hospitalizations,10/29/2022,5-11,1.1,0.0,4.7,,0.2,,,,,,91506,81987,21494,1,0,1,5,11
Deaths,08/13/2022,30-49,0.0,0.0,0.0,,,,,,,,120110,279431,347394,0,0,0,30,49
Hospitalizations,10/30/2021,12-17,1.6,0.0,,,,,,,,,62669,101934,,1,0,,12,17
Deaths,01/08/2022,12-17,0.0,0.9,0.0,0.0,,,,,,,49482,108810,3528,0,1,0,12,17
Cases,05/22/2021,12-17,100.8,,,,,,,,,,135945,,,137,,,12,17
Deaths,10/02/2021,30-49,2.3,0.0,,,,,,,,,213291,538234,,5,0,,30,49
Cases,07/24/2021,65-79,42.3,17.6,,2.4,,,,,,,68551,192768,,29,34,,65,79
Hospitalizations,10/02/2021,18-29,9.5,0.7,,13.6,,,,,,,179690,304071,,17,2,,18,29
Deaths,11/19/2022,12-17,0.0,0.0,0.0,,,,,,,,32353,83643,48689,0,0,0,12,17
Cases,11/12/2022,50-64,291.4,90.3,130.4,3.2,2.2,,,,,,32602,121760,254565,95,110,332,50,64
Hospitalizations,09/17/2022,30-49,12.7,2.2,4.0,5.8,3.2,,,,,,118021,277675,350070,15,6,14,30,49
Cases,12/04/2021,18-29,517.6,208.1,105.6,2.5,4.9,,,,,,156091,297424,30291,808,619,32,18,29
Deaths,06/26/2021,All,0.4,0.2,,2.0,,0.6,0.1,,6.8,,1213627,1297411,,5,2,,999,999
Cases,08/07/2021,50-64,171.3,54.6,,3.1,,,,,,,93989,318670,,161,174,,50,64
Deaths,11/19/2022,18-29,0.0,0.0,0.0,,,,,,,,86334,211053,162514,0,0,0,18,29
Hospitalizations,10/16/2021,50-64,48.1,4.8,,10.0,,,,,,,72822,331903,,35,16,,50,64
Deaths,06/12/2021,65-79,13.6,0.0,,,,,,,,,73679,183452,,10,0,,65,79
Cases,09/04/2021,18-29,256.6,92.7,,2.8,,,,,,,192903,291127,,495,270,,18,29
Deaths,09/18/2021,30-49,4.1,0.0,,,,,,,,,222101,529978,,9,0,,30,49
Deaths,06/19/2021,12-17,0.0,0.0,,,,,,,,,113750,24959,,0,0,,12,17
Hospitalizations,05/07/2022,All,7.1,4.7,6.1,1.5,1.2,9.3,6.2,4.1,1.5,2.2,637647,893624,961290,45,42,59,999,999
Deaths,05/08/2021,All,3.2,0.2,,16.0,,4.5,0.1,,34.6,,1424938,828683,,45,2,,999,999
Hospitalizations,10/09/2021,All,10.6,2.9,,3.7,,15.7,2.3,,6.8,,990439,1526485,,105,44,,999,999
Deaths,07/02/2022,18-29,0.0,0.0,0.0,,,,,,,,98614,214147,151966,0,0,0,18,29
Cases,08/27/2022,65-79,211.5,138.6,151.5,1.5,1.4,,,,,,43493,44001,172314,92,61,261,65,79
Cases,06/18/2022,30-49,319.2,139.9,276.0,2.3,1.2,,,,,,122507,283673,341278,391,397,942,30,49
Deaths,09/10/2022,30-49,0.0,0.0,0.0,,,,,,,,118807,277813,349756,0,0,0,30,49
Deaths,11/12/2022,12-17,0.0,0.0,0.0,,,,,,,,32468,84070,48197,0,0,0,12,17
Deaths,10/23/2021,All,2.1,0.6,0.0,3.5,,3.2,0.5,0.0,6.4,,970527,1503357,69199,20,9,0,999,999
Cases,01/22/2022,50-64,1130.2,412.2,333.1,2.7,3.4,,,,,,47867,175174,184631,541,722,615,50,64
Hospitalizations,10/30/2021,30-49,13.1,0.7,0.0,18.7,,,,,,,197957,536440,24628,26,4,0,30,49
Hospitalizations,07/16/2022,0-4,4.9,,,,,,,,,,162642,,,8,,,0,4
Deaths,07/30/2022,50-64,5.3,0.0,0.0,,,,,,,,37761,128351,244963,2,0,0,50,64
Deaths,01/15/2022,All,14.8,5.2,3.3,2.8,4.5,21.2,8.0,1.8,2.7,11.9,734831,1028357,689816,109,53,23,999,999
Deaths,10/08/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,11/19/2022,All,12.7,4.9,9.8,2.6,1.3,17.4,7.6,6.7,2.3,2.6,551587,834332,1078438,70,41,106,999,999
Deaths,07/03/2021,30-49,1.1,0.0,,,,,,,,,279320,479094,,3,0,,30,49
Hospitalizations,11/20/2021,65-79,90.0,12.6,2.8,7.1,32.1,,,,,,54441,134531,70449,49,17,2,65,79
Hospitalizations,09/17/2022,65-79,27.9,20.7,16.2,1.3,1.7,,,,,,43011,43465,173025,12,9,28,65,79
Cases,11/12/2022,0-4,81.2,5.5,,14.8,,,,,,,162642,,,132,9,,0,4
Hospitalizations,05/14/2022,50-64,19.9,10.4,4.7,1.9,4.2,,,,,,40252,134358,236316,8,14,11,50,64
Hospitalizations,04/02/2022,12-17,0.0,1.0,0.0,0.0,,,,,,,36560,96512,31770,0,1,0,12,17
Cases,06/19/2021,All,18.3,3.9,,4.7,,20.9,3.0,,6.9,,1230537,1248752,,225,49,,999,999
Deaths,03/19/2022,50-64,2.4,0.0,0.0,,,,,,,,42445,141486,226325,1,0,0,50,64
Cases,05/28/2022,All,309.6,213.5,333.3,1.5,0.9,354.2,199.5,362.3,1.8,1.0,632070,886315,973695,1957,1892,3245,999,999
Hospitalizations,06/04/2022,50-64,35.5,6.8,5.0,5.2,7.1,,,,,,39464,132300,239302,14,9,12,50,64
Cases,08/13/2022,All,231.6,122.0,202.6,1.9,1.1,279.7,118.5,173.4,2.4,1.6,599768,853180,1023162,1389,1041,2073,999,999
Deaths,01/22/2022,30-49,3.5,0.6,0.0,5.8,,,,,,,143735,334416,259934,5,2,0,30,49
Hospitalizations,12/04/2021,5-11,1.3,0.0,,,,,,,,,155369,13,,2,0,,5,11
Cases,04/02/2022,65-79,34.5,40.7,40.4,0.8,0.9,,,,,,46395,51651,160756,16,21,65,65,79
Deaths,02/19/2022,30-49,3.8,0.3,0.3,12.7,12.7,,,,,,131947,300908,306841,5,1,1,30,49
Cases,12/18/2021,65-79,421.3,294.8,114.2,1.4,3.7,,,,,,51508,95307,112129,217,281,128,65,79
Hospitalizations,06/25/2022,80+,66.0,65.1,58.2,1.0,1.1,,,,,,25772,12286,46381,17,8,27,80,200
Cases,10/29/2022,All,149.6,78.3,114.8,1.9,1.3,190.5,81.4,101.5,2.3,1.9,562899,840520,1064024,842,658,1221,999,999
Cases,11/19/2022,80+,119.9,140.7,218.2,0.9,0.5,,,,,,24191,10663,49030,29,15,107,80,200
Hospitalizations,02/05/2022,All,13.9,8.4,8.0,1.7,1.7,18.8,11.5,5.0,1.6,3.8,684723,933029,822898,95,78,66,999,999
Cases,12/25/2021,12-17,1757.0,965.5,633.7,1.8,2.8,,,,,,53500,109990,789,940,1062,5,12,17
Deaths,02/05/2022,12-17,0.0,0.0,0.0,,,,,,,,40945,98628,18568,0,0,0,12,17
Cases,11/26/2022,50-64,418.1,92.0,114.8,4.5,3.6,,,,,,31809,120710,256034,133,111,294,50,64
Deaths,10/08/2022,65-79,2.4,2.3,0.6,1.0,4.0,,,,,,41701,42757,174379,1,1,1,65,79
Deaths,03/26/2022,All,0.5,0.4,0.1,1.2,5.0,0.8,0.8,0.1,0.9,13.6,648902,908983,930323,3,4,1,999,999
Deaths,04/02/2022,5-11,0.0,0.0,,,,,,,,,101187,92910,,0,0,,5,11
Hospitalizations,07/09/2022,18-29,8.1,4.2,2.6,1.9,3.1,,,,,,98327,213841,152461,8,9,4,18,29
Hospitalizations,06/11/2022,12-17,0.0,1.1,2.7,0.0,0.0,,,,,,35175,93596,36516,0,1,1,12,17
Hospitalizations,11/26/2022,30-49,14.8,1.8,4.7,8.2,3.1,,,,,,108150,273558,361603,16,5,17,30,49
Hospitalizations,04/10/2021,50-64,53.7,2.4,,22.4,,,,,,,204926,81843,,110,2,,50,64
Cases,01/15/2022,18-29,1222.7,737.9,779.1,1.7,1.6,,,,,,126363,246505,90622,1545,1819,706,18,29
Hospitalizations,01/22/2022,All,56.5,25.6,16.3,2.2,3.5,77.9,31.5,10.9,2.5,7.1,713904,993614,737411,403,254,120,999,999
Hospitalizations,01/01/2022,50-64,332.7,73.6,14.8,4.5,22.5,,,,,,53795,208012,148877,179,153,22,50,64
Deaths,01/08/2022,65-79,76.6,28.4,3.0,2.7,25.5,,,,,,49604,73872,135046,38,21,4,65,79
Hospitalizations,02/05/2022,80+,59.9,155.6,33.9,0.4,1.8,,,,,,26701,16064,41259,16,25,14,80,200
Cases,08/06/2022,80+,168.1,221.2,241.9,0.8,0.7,,,,,,25581,11753,47135,43,26,114,80,200
Hospitalizations,07/10/2021,80+,15.3,3.8,,4.0,,,,,,,32595,52228,,5,2,,80,200
Cases,09/03/2022,65-79,198.0,139.3,147.8,1.4,1.3,,,,,,43437,43801,172573,86,61,255,65,79
Cases,04/24/2021,18-29,258.2,26.0,,9.9,,,,,,,304389,84616,,786,22,,18,29
Hospitalizations,08/27/2022,All,16.0,7.9,11.4,2.0,1.4,20.8,12.0,7.8,1.7,2.7,594487,849142,1031454,95,67,118,999,999
Hospitalizations,09/17/2022,All,10.0,4.0,7.3,2.5,1.4,11.9,6.4,5.0,1.9,2.4,587262,845355,1040593,59,34,76,999,999
Deaths,10/29/2022,80+,0.0,36.4,2.1,0.0,0.0,,,,,,24508,10983,48525,0,4,1,80,200
Deaths,08/20/2022,12-17,0.0,0.0,0.0,,,,,,,,33814,88658,42527,0,0,0,12,17
Hospitalizations,04/23/2022,50-64,12.2,2.2,3.9,5.5,3.1,,,,,,41053,136599,233081,5,3,9,50,64
Cases,07/09/2022,30-49,322.1,158.1,277.7,2.0,1.2,,,,,,121707,282157,343541,392,446,954,30,49
Deaths,11/06/2021,5-11,0.0,,,,,,,,,,204877,,,0,,,5,11
Deaths,04/16/2022,65-79,0.0,0.0,0.6,,0.0,,,,,,46005,50710,162079,0,0,1,65,79
Hospitalizations,06/18/2022,50-64,38.5,9.1,5.4,4.2,7.1,,,,,,38987,131198,240929,15,12,13,50,64
Cases,06/05/2021,50-64,64.0,2.6,,24.6,,,,,,,118823,272958,,76,7,,50,64
Hospitalizations,06/26/2021,65-79,5.6,0.5,,11.2,,,,,,,71608,187689,,4,1,,65,79
Hospitalizations,04/16/2022,80+,11.4,14.7,22.6,0.8,0.5,,,,,,26240,13626,44277,3,2,10,80,200
Deaths,09/24/2022,18-29,0.0,0.0,0.0,,,,,,,,93970,211138,157721,0,0,0,18,29
Hospitalizations,01/01/2022,18-29,83.5,19.7,9.9,4.2,8.4,,,,,,140134,263872,70417,117,52,7,18,29
Cases,03/12/2022,18-29,57.0,19.5,56.3,2.9,1.0,,,,,,105248,220357,138440,60,43,78,18,29
Deaths,06/04/2022,18-29,0.0,0.0,0.0,,,,,,,,99821,215425,149744,0,0,0,18,29
Cases,05/21/2022,18-29,354.0,165.6,415.8,2.1,0.9,,,,,,100568,216215,148394,356,358,617,18,29
Cases,12/18/2021,All,1057.5,685.3,386.0,1.5,2.7,1218.5,570.3,453.9,2.1,2.7,819878,1214722,451042,8670,8325,1741,999,999
Cases,09/24/2022,30-49,134.1,59.8,95.8,2.2,1.4,,,,,,117084,277464,350827,157,166,336,30,49
Hospitalizations,09/25/2021,50-64,37.1,2.7,,13.7,,,,,,,78107,330996,,29,9,,50,64
Deaths,05/28/2022,18-29,0.0,0.0,0.0,,,,,,,,100140,215859,149031,0,0,0,18,29
Cases,05/01/2021,80+,118.1,16.4,,7.2,,,,,,,36419,42658,,43,7,,80,200
Cases,11/12/2022,30-49,187.7,72.5,101.8,2.6,1.8,,,,,,109754,274339,359514,206,199,366,30,49
Deaths,07/24/2021,30-49,0.4,0.0,,,,,,,,,266705,497604,,1,0,,30,49
Hospitalizations,10/16/2021,80+,13.5,19.8,,0.7,,,,,,,29683,50557,,4,10,,80,200
Deaths,11/05/2022,30-49,0.0,0.4,0.0,0.0,,,,,,,110700,274873,358312,0,1,0,30,49
Deaths,08/07/2021,12-17,0.0,0.0,,,,,,,,,88384,68520,,0,0,,12,17
Cases,08/21/2021,50-64,249.6,71.6,,3.5,,,,,,,88937,322696,,222,231,,50,64
Cases,08/07/2021,65-79,103.4,42.2,,2.5,,,,,,,66727,194496,,69,82,,65,79
Cases,02/05/2022,80+,97.4,242.8,104.2,0.4,0.9,,,,,,26701,16064,41259,26,39,43,80,200
Hospitalizations,03/12/2022,50-64,7.0,2.8,2.7,2.5,2.6,,,,,,42783,142849,224379,3,4,6,50,64
Cases,11/13/2021,80+,97.7,127.2,13.5,0.8,7.2,,,,,,28648,40881,14796,28,52,2,80,200
Deaths,08/20/2022,5-11,0.0,0.0,0.0,,,,,,,,93797,86291,14367,0,0,0,5,11
Deaths,04/10/2021,18-29,0.0,0.0,,,,,,,,,355716,54039,,0,0,,18,29
Hospitalizations,10/29/2022,All,10.7,5.7,8.2,1.9,1.3,13.2,8.5,6.2,1.6,2.1,562899,840520,1064024,60,48,87,999,999
Hospitalizations,08/07/2021,12-17,2.3,0.0,,,,,,,,,88384,68520,,2,0,,12,17
Deaths,04/10/2021,80+,25.1,0.0,,,,,,,,,39869,30696,,10,0,,80,200
Hospitalizations,10/02/2021,65-79,46.3,9.7,,4.8,,,,,,,60486,194886,,28,19,,65,79
Deaths,07/16/2022,80+,15.6,8.3,6.4,1.9,2.4,,,,,,25674,12019,46759,4,1,3,80,200
Cases,07/03/2021,50-64,21.6,1.6,,13.5,,,,,,,106367,303161,,23,5,,50,64
Deaths,03/05/2022,80+,15.1,34.2,7.0,0.4,2.2,,,,,,26477,14599,43034,4,5,3,80,200
Deaths,04/30/2022,65-79,0.0,0.0,0.0,,,,,,,,45640,49755,163708,0,0,0,65,79
Deaths,01/08/2022,50-64,44.5,7.2,0.6,6.2,74.2,,,,,,51655,195250,162528,23,14,1,50,64
Cases,05/22/2021,80+,55.0,21.0,,2.6,,,,,,,34563,47660,,19,10,,80,200
Deaths,05/28/2022,30-49,0.0,0.0,0.0,,,,,,,,123476,285629,338398,0,0,0,30,49
Cases,10/01/2022,12-17,138.4,58.0,65.8,2.4,2.1,,,,,,33229,86168,45576,46,50,30,12,17
Deaths,07/09/2022,18-29,0.0,0.0,0.0,,,,,,,,98327,213841,152461,0,0,0,18,29
Deaths,11/05/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,07/10/2021,50-64,21.1,6.5,,3.2,,,,,,,104288,307467,,22,20,,50,64
Hospitalizations,04/23/2022,80+,15.3,29.7,24.7,0.5,0.6,,,,,,26199,13482,44521,4,4,11,80,200
Cases,09/18/2021,80+,68.9,33.6,,2.1,,,,,,,30477,53499,,21,18,,80,200
Hospitalizations,12/04/2021,12-17,5.3,0.9,,5.9,,,,,,,56965,106861,,3,1,,12,17
Deaths,10/02/2021,18-29,0.0,0.0,,,,,,,,,179690,304071,,0,0,,18,29
Hospitalizations,01/22/2022,18-29,29.8,6.3,2.0,4.7,14.9,,,,,,120721,238451,100867,36,15,2,18,29
Deaths,08/13/2022,18-29,0.0,0.0,0.0,,,,,,,,96630,212071,155389,0,0,0,18,29
Deaths,07/24/2021,50-64,4.0,0.0,,,,,,,,,99642,313727,,4,0,,50,64
Cases,08/20/2022,12-17,121.3,72.2,72.9,1.7,1.7,,,,,,33814,88658,42527,41,64,31,12,17
Hospitalizations,06/19/2021,50-64,10.7,0.0,,,,,,,,,111678,289939,,12,0,,50,64
Deaths,06/11/2022,65-79,2.2,2.1,1.2,1.0,1.8,,,,,,44729,47083,167846,1,1,2,65,79
Cases,09/03/2022,All,213.1,121.4,156.6,1.8,1.4,249.5,118.7,151.3,2.1,1.6,592597,846869,1035783,1263,1028,1622,999,999
Cases,12/04/2021,0-4,182.0,,,,,,,,,,162642,,,296,,,0,4
Cases,09/10/2022,0-4,88.5,1.8,,49.2,,,,,,,162642,,,144,3,,0,4
Cases,10/01/2022,30-49,137.8,49.1,90.6,2.8,1.5,,,,,,116136,277184,351949,160,136,319,30,49
Hospitalizations,01/15/2022,80+,466.8,434.9,90.5,1.1,5.2,,,,,,26995,18394,38659,126,80,35,80,200
Hospitalizations,10/01/2022,30-49,6.9,2.5,3.4,2.8,2.0,,,,,,116136,277184,351949,8,7,12,30,49
Deaths,10/15/2022,5-11,0.0,0.0,0.0,,,,,,,,91964,82338,20785,0,0,0,5,11
Deaths,05/14/2022,80+,3.8,7.7,0.0,0.5,,,,,,,26055,13043,45223,1,1,0,80,200
Cases,03/19/2022,80+,11.4,42.3,29.9,0.3,0.4,,,,,,26403,14197,43541,3,6,13,80,200
Cases,05/21/2022,30-49,356.1,191.7,443.2,1.9,0.8,,,,,,123858,286455,337287,441,549,1495,30,49
Hospitalizations,06/11/2022,All,8.9,7.4,8.4,1.2,1.1,12.3,10.1,6.0,1.2,2.1,629144,879118,984306,56,65,83,999,999
Deaths,07/09/2022,30-49,0.8,0.0,0.0,,,,,,,,121707,282157,343541,1,0,0,30,49
Deaths,10/01/2022,5-11,0.0,0.0,0.0,,,,,,,,92337,82952,19750,0,0,0,5,11
Cases,03/19/2022,All,55.8,33.2,52.9,1.7,1.1,63.5,31.2,45.6,2.0,1.4,651087,910368,924116,363,302,489,999,999
Cases,07/23/2022,12-17,180.1,88.9,115.9,2.0,1.6,,,,,,34427,91080,39695,62,81,46,12,17
Hospitalizations,10/15/2022,All,9.8,6.6,8.1,1.5,1.2,12.2,10.6,5.7,1.2,2.1,571619,842927,1055525,56,56,86,999,999
Hospitalizations,07/16/2022,65-79,45.3,21.9,18.2,2.1,2.5,,,,,,44113,45597,170033,20,10,31,65,79
Cases,05/14/2022,50-64,626.1,201.0,338.1,3.1,1.9,,,,,,40252,134358,236316,252,270,799,50,64
Deaths,07/23/2022,50-64,2.6,0.0,0.0,,,,,,,,37954,128983,244096,1,0,0,50,64
Cases,08/07/2021,30-49,236.8,91.6,,2.6,,,,,,,254666,506291,,603,464,,30,49
Cases,01/08/2022,80+,1297.5,1622.5,671.0,0.8,1.9,,,,,,27130,19415,37556,352,315,252,80,200
Cases,05/08/2021,50-64,247.4,17.7,,14.0,,,,,,,143879,197956,,356,35,,50,64
Deaths,09/11/2021,65-79,11.1,2.0,,5.6,,,,,,,62796,195832,,7,4,,65,79
Hospitalizations,01/29/2022,18-29,17.2,2.2,4.5,7.8,3.8,,,,,,116289,230544,110960,20,5,5,18,29
Cases,07/16/2022,12-17,153.4,102.8,170.9,1.5,0.9,,,,,,34559,91467,39201,53,94,67,12,17
Hospitalizations,10/29/2022,50-64,20.9,15.4,5.5,1.4,3.8,,,,,,33487,123004,252762,7,19,14,50,64
Hospitalizations,10/08/2022,80+,40.0,80.1,50.0,0.5,0.8,,,,,,24997,11234,47995,10,9,24,80,200
Hospitalizations,11/13/2021,30-49,18.9,1.7,0.0,11.1,,,,,,,190936,521079,47495,36,9,0,30,49
Deaths,10/15/2022,30-49,0.0,0.0,0.0,,,,,,,,113866,276402,354439,0,0,0,30,49
Deaths,07/16/2022,5-11,0.0,0.0,0.0,,,,,,,,96271,90096,9113,0,0,0,5,11
Cases,03/05/2022,18-29,48.1,22.2,47.7,2.2,1.0,,,,,,105987,220513,136211,51,49,65,18,29
Deaths,11/05/2022,65-79,7.5,0.0,1.1,,6.8,,,,,,39736,41182,176879,3,0,2,65,79
Deaths,08/06/2022,65-79,2.3,0.0,0.0,,,,,,,,43730,44700,171318,1,0,0,65,79
Hospitalizations,09/11/2021,30-49,22.9,2.3,,10.0,,,,,,,227195,526013,,52,12,,30,49
Deaths,10/22/2022,18-29,0.0,0.0,0.0,,,,,,,,90022,211168,160156,0,0,0,18,29
Hospitalizations,04/02/2022,30-49,3.9,1.0,0.9,3.9,4.3,,,,,,126802,292392,328268,5,3,3,30,49
Cases,10/02/2021,65-79,137.2,44.1,,3.1,,,,,,,60486,194886,,83,86,,65,79
Cases,12/03/2022,80+,158.2,285.0,243.7,0.6,0.6,,,,,,24015,10526,49243,38,30,120,80,200
Deaths,10/01/2022,80+,0.0,8.8,8.4,0.0,0.0,,,,,,25127,11319,47825,0,1,4,80,200
Deaths,01/22/2022,5-11,0.0,0.0,,,,,,,,,117768,56222,,0,0,,5,11
Deaths,04/17/2021,30-49,0.7,0.0,,,,,,,,,414302,151345,,3,0,,30,49
Cases,10/08/2022,30-49,133.7,54.5,76.5,2.5,1.7,,,,,,115150,276816,353166,154,151,270,30,49
Hospitalizations,09/24/2022,All,11.0,4.9,8.0,2.2,1.4,15.0,6.2,5.3,2.4,2.8,583652,845339,1042972,64,41,83,999,999
Hospitalizations,06/26/2021,30-49,3.5,0.9,,3.9,,,,,,,283832,468937,,10,4,,30,49
Deaths,04/09/2022,12-17,0.0,0.0,0.0,,,,,,,,36402,96259,32390,0,0,0,12,17
Deaths,12/11/2021,80+,39.6,14.3,3.5,2.8,11.3,,,,,,27763,28055,28382,11,4,1,80,200
Deaths,02/26/2022,65-79,4.3,9.1,0.6,0.5,7.2,,,,,,47038,55059,156429,2,5,1,65,79
Deaths,09/25/2021,30-49,4.1,0.2,,20.5,,,,,,,217740,533823,,9,1,,30,49
Deaths,11/05/2022,18-29,0.0,0.0,0.0,,,,,,,,88156,211122,161382,0,0,0,18,29
Hospitalizations,09/10/2022,65-79,34.6,25.2,16.8,1.4,2.1,,,,,,43307,43593,172850,15,11,29,65,79
Deaths,10/08/2022,80+,8.0,8.9,0.0,0.9,,,,,,,24997,11234,47995,2,1,0,80,200
Deaths,11/05/2022,5-11,0.0,0.0,0.0,,,,,,,,91269,81371,22341,0,0,0,5,11
Deaths,06/25/2022,80+,3.9,8.1,2.2,0.5,1.8,,,,,,25772,12286,46381,1,1,1,80,200
Hospitalizations,12/25/2021,30-49,91.5,12.8,5.6,7.1,16.3,,,,,,167171,407421,177656,153,52,10,30,49
Hospitalizations,07/16/2022,18-29,12.3,3.3,2.6,3.7,4.7,,,,,,97928,213563,152974,12,7,4,18,29
Cases,06/26/2021,30-49,24.0,5.3,,4.5,,,,,,,283832,468937,,68,25,,30,49
Deaths,04/02/2022,80+,0.0,0.0,0.0,,,,,,,,26341,13897,43917,0,0,0,80,200
Deaths,06/12/2021,All,2.2,0.2,,11.0,,3.3,0.1,,25.0,,1249087,1208233,,27,2,,999,999
Deaths,05/22/2021,50-64,6.2,0.0,,,,,,,,,128339,240209,,8,0,,50,64
Hospitalizations,05/29/2021,65-79,40.7,4.5,,9.0,,,,,,,76117,177033,,31,8,,65,79
Cases,05/14/2022,12-17,658.8,320.3,492.9,2.1,1.3,,,,,,35672,94914,34695,235,304,171,12,17
Cases,01/08/2022,18-29,2478.9,1586.2,1530.4,1.6,1.6,,,,,,133327,254263,81353,3305,4033,1245,18,29
Deaths,09/17/2022,80+,3.9,0.0,4.2,,0.9,,,,,,25382,11407,47616,1,0,2,80,200
Deaths,02/19/2022,All,2.9,1.0,0.8,2.9,3.6,3.5,1.5,0.5,2.4,7.1,666496,915436,873090,19,9,7,999,999
Deaths,11/05/2022,80+,4.1,9.2,2.1,0.4,2.0,,,,,,24388,10860,48711,1,1,1,80,200
Cases,04/23/2022,12-17,188.5,92.9,165.1,2.0,1.1,,,,,,36076,95846,33311,68,89,55,12,17
Hospitalizations,05/07/2022,65-79,24.2,20.3,12.2,1.2,2.0,,,,,,45535,49304,164423,11,10,20,65,79
Deaths,11/05/2022,All,0.7,0.2,0.3,3.5,2.3,0.8,0.4,0.2,1.9,4.8,559010,838468,1069066,4,2,3,999,999
Deaths,01/15/2022,80+,122.2,157.7,25.9,0.8,4.7,,,,,,26995,18394,38659,33,29,10,80,200
Cases,10/30/2021,65-79,90.9,44.8,15.0,2.0,6.1,,,,,,57175,169564,33345,52,76,5,65,79
Deaths,05/01/2021,All,2.7,0.3,,9.0,,3.7,0.1,,27.9,,1464380,715366,,39,2,,999,999
Cases,09/17/2022,65-79,141.8,115.0,140.4,1.2,1.0,,,,,,43011,43465,173025,61,50,243,65,79
Cases,07/02/2022,50-64,502.5,170.5,238.1,2.9,2.1,,,,,,38608,130231,242310,194,222,577,50,64
Cases,07/16/2022,All,259.1,155.6,262.4,1.7,1.0,322.6,150.6,237.1,2.1,1.4,612141,863767,1005900,1586,1344,2639,999,999
Cases,11/26/2022,All,148.3,62.5,111.8,2.4,1.3,196.3,67.9,90.5,2.9,2.2,548999,832359,1082905,814,520,1211,999,999
Hospitalizations,02/12/2022,65-79,33.7,36.3,8.5,0.9,4.0,,,,,,47427,57795,152954,16,21,13,65,79
Cases,08/28/2021,30-49,287.8,97.4,,3.0,,,,,,,238017,517628,,685,504,,30,49
Cases,09/17/2022,All,141.7,76.1,121.4,1.9,1.2,166.5,77.7,116.9,2.1,1.4,587262,845355,1040593,832,643,1263,999,999
Deaths,06/05/2021,All,2.6,0.2,,13.0,,3.9,0.1,,38.6,,1271160,1165275,,33,2,,999,999
Cases,02/26/2022,80+,67.9,47.1,14.0,1.4,4.8,,,,,,26509,14848,42716,18,7,6,80,200
Cases,07/10/2021,All,24.7,8.7,,2.8,,25.7,7.0,,3.7,,1186856,1355719,,293,118,,999,999
Cases,04/02/2022,50-64,109.8,37.3,68.9,2.9,1.6,,,,,,41913,139415,229197,46,52,158,50,64
Hospitalizations,07/30/2022,30-49,10.8,5.7,4.0,1.9,2.7,,,,,,120707,280522,345860,13,16,14,30,49
Deaths,10/30/2021,50-64,7.2,1.5,0.0,4.8,,,,,,,69568,325887,18727,5,5,0,50,64
Hospitalizations,04/02/2022,All,2.9,1.5,1.5,1.9,1.9,3.8,1.8,1.0,2.0,3.6,646784,906108,936914,19,14,14,999,999
